Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-06-07,7.95764442906808,7.984139912558596,7.71918260959002,7.731198787689209,886942000,0.0,0.0
2010-06-08,7.802060129482184,7.819313539865782,7.568220146932914,7.6815972328186035,1000770400,0.0,0.0
2010-06-09,7.747525859146111,7.760774420781344,7.470861767119468,7.492735385894775,854630000,0.0,0.0
2010-06-10,7.543263299239743,7.732429648160295,7.461927453976131,7.717950344085693,776356000,0.0,0.0
2010-06-11,7.647705441782474,7.821160088317041,7.621209962548119,7.81037712097168,545759200,0.0,0.0
2010-06-14,7.885860127557998,7.9841400600933055,7.825782526703137,7.834100723266602,602960400,0.0,0.0
2010-06-15,7.875999128250848,8.00570488145134,7.87168577704776,8.000775337219238,585074000,0.0,0.0
2010-06-16,8.04421835983683,8.249098084646679,8.029738230232079,8.233694076538086,783678000,0.0,0.0
2010-06-17,8.336903065394527,8.40776446013699,8.303013262354833,8.376030921936035,872855200,0.0,0.0
2010-06-18,8.387737575205723,8.472462903525631,8.362165969548958,8.443809509277344,784621600,0.0,0.0
2010-06-21,8.555338985804992,8.596006917699064,8.279290990751795,8.32365608215332,776490400,0.0,0.0
2010-06-22,8.384964659015276,8.502346574124033,8.364631107849894,8.437031745910645,717262000,0.0,0.0
2010-06-23,8.459523664339843,8.46198843730102,8.253719235521144,8.348302841186523,768457200,0.0,0.0
2010-06-24,8.349224989867077,8.41700540956842,8.259879456599222,8.28760814666748,714277200,0.0,0.0
2010-06-25,8.320266088064711,8.326735704814865,8.18932710002372,8.216747283935547,549942400,0.0,0.0
2010-06-28,8.22383483453541,8.310717264643355,8.149585600745336,8.266043663024902,584948000,0.0,0.0
2010-06-29,8.13725932618918,8.145578344380688,7.834715918364112,7.89232873916626,1133344800,0.0,0.0
2010-06-30,7.9089662183714315,7.9477855663139145,7.70254726034251,7.74937629699707,739452000,0.0,0.0
2010-07-01,7.834716961742818,7.850121791289985,7.493354165855869,7.65540885925293,1022896000,0.0,0.0
2010-07-02,7.717334632421488,7.730891705840044,7.492737553013794,7.607964038848877,693842800,0.0,0.0
2010-07-06,7.73304623418044,7.78850196570411,7.58393080038043,7.660029411315918,615235600,0.0,0.0
2010-07-07,7.71733312119998,7.972432126141722,7.694535622083814,7.969350337982178,654556000,0.0,0.0
2010-07-08,8.086729933715883,8.099669983685859,7.8528900924408,7.951478481292725,738144400,0.0,0.0
2010-07-09,7.914512324206339,8.007247346072495,7.861212845296787,7.998621463775635,433322400,0.0,0.0
2010-07-12,7.96503916948231,8.067324772555079,7.8519705967601805,7.926836013793945,562878400,0.0,0.0
2010-07-13,7.896947548393964,7.899411497153798,7.5922463483852844,7.7576904296875,1190924000,0.0,0.0
2010-07-14,7.68313683563073,7.880929069748311,7.671428343579414,7.786345481872559,812047600,0.0,0.0
2010-07-15,7.647704537394482,7.916974294746261,7.619051974466791,7.746909141540527,824866000,0.0,0.0
2010-07-16,7.8002114112114675,7.8553594701045295,7.653253031043411,7.699158191680908,1039858400,0.0,0.0
2010-07-19,7.698539574955241,7.698539574955241,7.381823765291215,7.566060543060303,1024478000,0.0,0.0
2010-07-20,7.483493825769987,7.791582961095371,7.394455982569493,7.760465621948242,1074950800,0.0,0.0
2010-07-21,8.167143581214857,8.168992160356128,7.825473174823739,7.832866668701172,1185671200,0.0,0.0
2010-07-22,7.938851319402271,8.010328084727936,7.865833659743431,7.980135440826416,645318800,0.0,0.0
2010-07-23,7.92067364892017,8.022035367997857,7.895718237043485,8.008479118347168,533388800,0.0,0.0
2010-07-26,8.010325569453405,8.013406534464476,7.939773527418841,7.988143444061279,420551600,0.0,0.0
2010-07-27,8.037129463420827,8.158208507589233,8.019568374398787,8.136026382446289,584771600,0.0,0.0
2010-07-28,8.123397539019727,8.194874304869806,8.018030969845274,8.039904594421387,519985200,0.0,0.0
2010-07-29,8.032201832691497,8.091970922096408,7.890173015540131,7.952098369598389,643806800,0.0,0.0
2010-07-30,7.883704373114473,8.001085479088447,7.853202397469035,7.925603866577148,448210000,0.0,0.0
2010-08-02,8.023879509852913,8.090118181838399,7.998616426709022,8.067319869995117,428055600,0.0,0.0
2010-08-03,8.041442019483314,8.110761667882432,7.9924559152312735,8.069786071777344,417653600,0.0,0.0
2010-08-04,8.097827073626387,8.142191344918098,8.019880679534404,8.102140426635742,420375200,0.0,0.0
2010-08-05,8.063627011015882,8.10830060330709,8.027272437642,8.062703132629395,289097200,0.0,0.0
2010-08-06,8.003547314015748,8.05623140348965,7.937307801404985,8.01309871673584,444897600,0.0,0.0
2010-08-09,8.055924297617029,8.076567179894038,7.997079907348115,8.06424331665039,303128000,0.0,0.0
2010-08-10,8.005705600883855,8.02419139341546,7.934844218867063,7.992149353027344,451920000,0.0,0.0
2010-08-11,7.868607171850261,7.877541561172611,7.696384888689102,7.708091735839844,620054400,0.0,0.0
